# ----------------------------------------
# Facebook Swarm NLP
# Location
# 20110301-20111108
# ----------------------------------------

Country/Territory	Visits	Pages/Visit	Avg. Time on Site	% New Visits	Bounce Rate
Germany	"2,431"	7.21	00:20:47	5.14%	1.19%
Thailand	"2,262"	10.24	00:27:52	2.12%	0.18%
Mexico	"1,653"	6.98	00:20:30	2.24%	0.30%
Czech Republic	"1,493"	6.98	00:47:38	2.34%	0.00%
United Kingdom	"1,100"	11.85	00:32:22	5.91%	0.36%
India	"1,028"	22.57	00:29:16	13.52%	0.00%
Australia	854	3.58	00:18:41	2.58%	0.12%
Italy	836	6.25	00:17:02	3.95%	0.24%
Indonesia	830	12.88	00:34:41	6.02%	0.12%
United States	764	8.20	00:22:27	16.10%	2.62%
Sweden	747	8.14	01:42:13	0.40%	0.27%
Malaysia	703	17.09	00:36:33	13.09%	0.00%
France	700	5.80	00:28:04	8.29%	1.57%
Switzerland	645	6.31	00:07:37	0.62%	0.47%
Philippines	645	15.81	00:46:05	7.13%	0.16%
Argentina	617	12.63	00:23:51	2.59%	0.16%
Hong Kong	568	12.04	00:32:24	0.35%	0.00%
Austria	532	4.01	00:21:28	1.69%	0.56%
Tunisia	526	11.87	00:25:22	6.46%	0.00%
Turkey	454	9.05	00:19:15	4.63%	0.00%
Brazil	422	5.27	00:34:47	1.66%	0.24%
Slovenia	380	6.32	00:14:15	1.32%	0.00%
Vietnam	369	6.48	00:17:00	3.25%	0.27%
Chile	338	7.12	00:17:35	19.23%	0.59%
Algeria	325	9.18	00:35:26	4.00%	0.00%
Morocco	321	6.09	00:19:52	4.36%	0.00%
Croatia	318	13.24	00:39:17	0.63%	0.00%
Honduras	309	9.29	00:38:50	0.32%	0.00%
Hungary	284	20.35	00:48:57	18.31%	0.70%
Spain	267	6.81	00:26:43	4.49%	1.87%
Israel	261	12.82	00:18:44	2.30%	0.38%
Saudi Arabia	250	11.32	00:21:42	0.80%	0.00%
Iraq	225	19.15	00:43:13	71.11%	0.44%
Egypt	220	12.31	00:20:10	11.82%	0.45%
Ecuador	203	8.70	00:28:43	1.48%	0.00%
Norway	199	5.13	00:35:47	2.51%	1.51%
Dominican Republic	194	9.95	00:23:29	0.52%	0.00%
El Salvador	180	9.04	00:27:38	15.56%	0.00%
Jamaica	154	14.31	00:58:56	2.60%	0.00%
Georgia	153	11.90	00:25:14	7.84%	0.00%
Greece	133	7.48	00:14:57	2.26%	0.75%
Colombia	125	5.60	00:15:15	8.80%	0.00%
Canada	121	6.14	00:33:55	7.44%	0.83%
Taiwan	121	14.41	00:26:20	5.79%	0.00%
Ukraine	106	4.74	00:43:48	5.66%	1.89%
Russia	105	6.32	00:19:06	11.43%	4.76%
(not set)	98	7.10	00:27:29	5.10%	0.00%
Belgium	95	4.76	00:21:05	2.11%	0.00%
United Arab Emirates	92	8.79	00:30:03	2.17%	0.00%
Netherlands	89	3.84	00:22:08	12.36%	6.74%
Pakistan	87	10.25	00:20:53	13.79%	0.00%
Denmark	78	4.96	00:14:59	3.85%	0.00%
Venezuela	78	6.23	00:11:09	28.21%	0.00%
Cambodia	72	6.54	00:40:39	4.17%	0.00%
Singapore	66	57.85	01:13:36	4.55%	1.52%
Sri Lanka	63	5.87	00:16:17	1.59%	0.00%
Panama	63	6.19	00:13:39	3.17%	0.00%
Mauritius	50	8.40	00:27:03	4.00%	0.00%
Romania	50	5.72	00:04:21	10.00%	4.00%
Puerto Rico	49	6.53	00:18:47	8.16%	0.00%
Azerbaijan	45	5.16	00:29:40	4.44%	0.00%
Palestinian Territories	38	28.45	00:35:39	5.26%	0.00%
Albania	34	9.76	00:25:16	5.88%	0.00%
Armenia	26	9.38	00:23:41	3.85%	0.00%
Nepal	25	8.28	00:12:59	8.00%	0.00%
Portugal	25	4.96	00:05:18	20.00%	0.00%
Yemen	17	29.82	00:42:32	5.88%	0.00%
Serbia	15	3.60	00:05:52	40.00%	0.00%
Brunei	13	11.08	00:27:13	23.08%	0.00%
Slovakia	13	7.23	00:14:30	76.92%	0.00%
Ireland	12	19.58	00:25:04	33.33%	8.33%
Poland	11	3.82	00:03:31	45.45%	18.18%
	"26,775"	9.67	00:29:27	5.83%	0.47%

