# ----------------------------------------
# Facebook Swarm NLP
# Pages
# 20110301-20111108
# ----------------------------------------

Page	Pageviews	Unique Pageviews	Avg. Time on Page	Bounce Rate	% Exit
/users/ckykwanyiu	"3,270"	"1,702"	00:06:34	0.00%	16.82%
/users/KevinSpehling	"2,977"	"2,460"	00:14:48	0.00%	20.76%
/users/MissGemmaPearl	"2,343"	355	00:01:24	0.00%	1.71%
/users/marin.panfil	"2,263"	"1,686"	00:18:11	0.00%	32.57%
/users/100002323917119	"2,219"	"1,198"	00:02:32	0.00%	6.08%
/users/mgt.muhd.azri	"2,016"	937	00:01:29	0.00%	2.13%
/users/100000377856031	"2,007"	"1,136"	00:06:01	0.00%	16.09%
/users/C.Peerapat	"1,911"	"1,472"	00:06:48	0.00%	16.95%
/users/laszlo.tal	"1,685"	719	00:05:07	0.00%	11.16%
/users/793837365	"1,674"	"1,246"	00:04:05	0.00%	12.66%
/users/artcow	"1,582"	863	00:04:03	0.00%	7.40%
/users/1130221506	"1,434"	970	00:07:04	0.00%	10.81%
/users/610566941	"1,377"	"1,212"	00:00:38	0.00%	0.36%
/users/1843388191	"1,352"	703	00:06:15	0.00%	20.34%
/users/DjSpEmIkK	"1,341"	990	00:09:34	0.00%	36.99%
/users/tArA.kRiShA	"1,328"	939	00:06:54	0.00%	11.97%
/users/poplekhing	"1,278"	945	00:06:57	0.00%	15.81%
/users/michal.panfil	"1,271"	"1,005"	00:14:31	0.00%	27.85%
/users/100000684527014	"1,189"	894	00:04:36	0.00%	21.11%
/users/627432307	"1,185"	841	00:17:12	0.00%	54.09%
/users/salm.ch	"1,177"	799	00:04:07	0.00%	34.75%
/users/100001632903170	"1,131"	"1,077"	00:01:46	0.00%	1.15%
/users/100000249960367	"1,104"	858	00:06:04	0.00%	22.64%
/users/mohamed.abdelkeream	"1,039"	740	00:17:08	0.00%	48.99%
/users/NanaaNatasha	"1,037"	713	00:02:28	0.00%	3.47%
/users/crt.apostolovski	959	426	00:05:06	0.00%	26.38%
/users/BBreaks	929	649	00:03:48	0.00%	11.95%
/users/barhamfarid	865	609	00:04:50	0.00%	7.05%
/users/100002419366597	844	706	00:03:51	0.00%	12.20%
/users/100000938909129	843	605	00:13:12	0.00%	28.00%
/users/100001243085397	827	629	00:11:27	0.00%	20.44%
/users/siztergang	827	386	00:02:15	0.00%	2.42%
/users/100000350191477	812	547	00:02:20	0.00%	9.36%
/users/avirona.cameron	801	496	00:08:48	0.00%	12.61%
/users/dakoller	799	645	00:13:07	0.83%	53.44%
/users/yudi7928	785	516	00:10:07	0.00%	17.96%
/users/littlemods	779	459	00:08:38	0.00%	14.89%
/users/100002163544609	740	674	00:01:22	0.00%	3.38%
/users/AkoSiArvinLee	739	524	00:07:06	0.00%	18.81%
/users/BuzzRain	716	571	00:04:26	0.00%	8.80%
/users/100001910440906	710	452	00:02:54	0.00%	11.55%
/users/741833012	710	593	00:09:11	0.00%	19.15%
/users/kenisho.hitaru	706	433	00:07:29	0.00%	19.83%
/users/100000208165915	669	557	00:03:18	0.00%	11.51%
/users/yuni9x	667	494	00:06:48	0.00%	26.39%
/users/100001758095049	663	511	00:06:08	0.00%	28.21%
/users/100000130829122	650	517	00:10:41	0.00%	20.00%
/users/100002268908428	635	454	00:16:31	0.00%	34.33%
/users/irma.khutsidze	623	412	00:04:28	0.00%	8.35%
/users/mjaberk	613	373	00:01:26	0.00%	4.24%
/users/hamid.elmharzi	606	521	00:09:26	0.00%	58.75%
/users/1193965449	587	512	00:05:18	0.00%	20.44%
/users/ghada.azzali	576	349	00:03:58	0.00%	2.95%
/users/BBreaks	576	453	00:02:58	0.00%	8.85%
/users/hiperaktifnesli	567	451	00:03:54	0.00%	22.57%
/users/zukitod	566	441	00:07:17	0.00%	21.02%
/users/IamRicoBismanos	546	407	00:07:00	0.00%	10.62%
/users/k5501300g	546	395	00:03:12	0.00%	9.52%
/users/1560259908	531	412	00:08:43	0.00%	15.25%
/users/1497191768	527	232	00:11:13	0.00%	27.70%
/users/100000094768347	526	262	00:08:55	0.00%	18.25%
/users/100000066232115	514	450	00:04:54	12.50%	14.20%
/users/jinaira	509	352	00:06:35	0.00%	22.59%
/users/luisespinosa	509	395	00:04:59	0.00%	34.38%
/users/barhamfarid?ref=tn_tinyman	506	421	00:04:13	0.00%	9.68%
/users/100002425261702	488	343	00:13:55	0.00%	29.51%
/users/shehabelassal	468	369	00:03:22	0.00%	13.68%
/users/musta.lamine	466	333	00:09:42	0.00%	38.20%
/users/100001724916658	464	343	00:08:13	0.00%	30.60%
/users/alf.m.olsen	461	379	00:18:38	0.00%	34.71%
/users/1392229192	460	334	00:06:38	0.00%	12.17%
/users/100001795665495	456	405	00:18:04	0.00%	31.36%
/users/milanek.mjartan	454	332	00:07:09	0.00%	14.32%
/users/My.crazygirl	438	317	00:03:30	0.00%	20.55%
/users/ngachiaki	433	350	00:10:57	0.00%	37.18%
/users/100002172912947	433	355	00:09:49	0.00%	32.33%
/users/1532589118	427	354	00:12:16	0.00%	41.45%
/users/100001869961461	423	268	00:03:09	0.00%	4.49%
/users/hubi.garcia	415	366	00:02:29	0.00%	37.59%
/users/100000401015058	409	341	00:08:36	0.00%	15.89%
/users/100000596572415	408	299	00:07:01	0.00%	11.52%
/users/egyvizipap.vizipap	399	172	00:03:23	0.00%	3.51%
/users/bhaetskho	398	294	00:08:19	0.00%	15.58%
/users/Youcef.c3	393	289	00:04:11	0.00%	13.23%
/users/100001746613494	386	296	00:11:45	0.00%	56.74%
/users/100000818850623	385	311	00:05:27	0.00%	13.25%
/users/FaresAlahlam.Now	379	314	00:02:49	0.00%	6.86%
/users/100000208165915	374	305	00:02:54	0.00%	10.70%
/users/badii.horsligne	368	264	00:04:22	0.00%	5.43%
/users/flukeSKband	367	284	00:05:22	0.00%	29.16%
/users/salm.ch	356	247	00:02:15	0.00%	24.16%
/users/100001795665495	354	303	00:17:33	0.00%	31.92%
/users/100001215998746	337	219	00:05:31	0.00%	16.32%
/users/100001155021255	333	236	00:03:07	0.00%	15.02%
/users/100000606465894	314	244	00:09:23	0.00%	31.85%
/users/100002231715150	314	222	00:13:01	0.00%	32.80%
/users/semira.malki?ref=tn_tinyman	308	80	00:11:18	0.00%	9.42%
/users/eencarnacionsanchez	307	231	00:04:01	0.00%	13.68%
/users/100001485852795	301	143	00:01:51	0.00%	4.98%
