# ----------------------------------------
# Twitter Swarm NLP
# Location
# 20110301-20111108
# ----------------------------------------

Country/Territory	Visits	Pages/Visit	Avg. Time on Site	% New Visits	Bounce Rate
United States	"1,188"	4.51	00:25:48	16.41%	1.85%
Germany	584	2.93	00:17:18	10.79%	7.71%
Finland	370	4.77	00:12:26	1.35%	0.27%
Italy	354	2.84	02:02:58	5.65%	0.56%
United Kingdom	337	4.34	00:39:11	4.15%	1.48%
Japan	315	5.23	00:25:06	25.40%	0.00%
Russia	283	3.36	00:25:27	10.95%	3.53%
Spain	183	4.34	00:54:06	7.65%	2.73%
Australia	176	2.88	01:22:23	3.41%	0.57%
Thailand	163	7.86	00:26:00	9.20%	1.84%
Saudi Arabia	119	7.03	00:09:58	0.84%	0.00%
India	104	4.01	00:10:07	18.27%	1.92%
Netherlands	103	4.46	00:38:16	10.68%	7.77%
Chile	102	5.88	00:09:52	4.90%	0.00%
France	97	2.98	00:26:14	18.56%	11.34%
Canada	69	2.88	00:03:20	10.14%	1.45%
Belarus	65	3.55	00:03:35	26.15%	3.08%
Sweden	60	2.65	00:03:10	5.00%	1.67%
Egypt	53	3.47	00:38:36	7.55%	0.00%
Turkey	52	10.37	00:23:22	7.69%	0.00%
Switzerland	46	3.50	00:25:19	10.87%	6.52%
Ireland	45	4.33	00:18:22	13.33%	2.22%
Romania	38	3.16	00:35:47	10.53%	5.26%
Israel	37	4.32	00:05:16	18.92%	0.00%
Lithuania	36	3.28	00:15:50	13.89%	0.00%
Austria	34	2.15	00:04:04	14.71%	8.82%
Argentina	28	3.36	00:12:53	14.29%	0.00%
Colombia	25	6.72	00:08:53	8.00%	0.00%
Belgium	23	3.26	00:30:06	26.09%	4.35%
Brazil	23	3.65	00:23:18	17.39%	0.00%
(not set)	18	4.33	00:06:13	11.11%	0.00%
Greece	17	2.76	02:04:34	23.53%	5.88%
Portugal	14	6.86	00:10:49	7.14%	0.00%
Yemen	12	5.83	00:20:26	8.33%	0.00%
Slovenia	10	2.80	00:05:27	50.00%	0.00%
	"5,183"	4.24	00:32:28	11.44%	2.51%

