# ----------------------------------------
# Twitter Swarm NLP
# Pages
# 20110301-20111108
# ----------------------------------------

Page	Pageviews	Unique Pageviews	Avg. Time on Page	Bounce Rate	% Exit
/users/JoukoSalonen	742	309	00:06:53	0.00%	37.06%
/users/ROBW0LF	626	96	00:07:24	0.00%	10.54%
/users/dakoller	435	315	00:14:22	0.00%	61.38%
/users/mattroweshow	367	134	00:10:18	0.00%	28.07%
/users/EVILSOLD13RZ	273	133	00:04:49	0.00%	41.76%
/users/iArwa23	264	76	00:03:19	0.00%	21.97%
/users/tatarlak	259	109	00:19:56	0.00%	28.57%
/users/belencittazul	249	93	00:04:28	0.00%	31.73%
/users/tomayac	239	110	00:22:29	0.00%	37.66%
/users/lov2laf	223	155	00:09:44	0.00%	65.92%
/users/clay_woolam	222	86	00:06:32	0.00%	36.04%
/users/Maggio777	192	125	00:05:13	0.00%	43.75%
/users/NikbinAfghan	184	105	00:12:17	40.00%	53.26%
/users/pearlyppear	174	60	00:03:52	0.00%	27.59%
/users/novogeek	161	75	00:07:36	0.00%	38.51%
/users/NoBelle129	146	36	00:05:55	0.00%	8.90%
/users/y18367	134	28	00:04:38	0.00%	17.16%
/users/MetodoSpa	114	65	00:43:42	0.00%	39.47%
/users/storysparrow	114	93	00:39:10	0.00%	71.93%
/users/studioflu	112	90	01:09:27	0.00%	70.54%
/users/MyallisinSJ	101	40	00:17:47	0.00%	16.83%
/users/ronniewolve	95	28	00:07:26	0.00%	20.00%
/users/BigfanJEDWARD	80	43	00:05:04	0.00%	36.25%
/users/brad_jones	64	44	00:07:13	0.00%	60.94%
/users/hellwelovespurs	58	47	01:09:18	0.00%	58.62%
/users/__ayangie	56	11	00:04:40	0.00%	12.50%
/users/tahu	55	31	00:01:50	0.00%	41.82%
/users/StepanKuzmin	54	37	00:29:56	0.00%	57.41%
/users/kojote	53	33	00:06:00	0.00%	54.72%
/users/vikajuicylemon	52	43	00:56:24	0.00%	61.54%
/users/kholy	49	40	00:48:32	0.00%	44.90%
/users/valia_gontier	49	27	00:02:42	0.00%	40.82%
/users/iArwa22	48	12	00:02:23	0.00%	16.67%
/users/JPMenez	48	14	00:03:41	0.00%	22.92%
/users/klokie	47	39	00:06:18	0.00%	68.09%
/users/directemark	46	39	00:47:52	0.00%	65.22%
/users/cloudy_april	43	32	00:05:20	0.00%	46.51%
/users/Dumbol_News	42	33	00:14:42	0.00%	59.52%
/users/kazys	42	27	01:19:50	0.00%	61.90%
/users/misfer_aldosari	41	38	00:11:34	0.00%	90.24%
/users/_kirps	39	20	00:03:56	0.00%	38.46%
/users/asm1955	39	28	00:04:30	0.00%	64.10%
/users/nemanjavuk	39	26	00:02:29	0.00%	53.85%
/users/CriticusM	38	12	00:03:41	0.00%	13.16%
/users/Aomsin_om	37	22	00:08:57	0.00%	54.05%
/users/iNouf_15	36	19	00:05:04	0.00%	33.33%
/users/chrisangele	35	29	00:10:40	0.00%	82.86%
/users/davidjacot	33	21	00:18:29	0.00%	48.48%
/users/islamux	30	10	00:10:00	0.00%	30.00%
/users/MRLOONEYBOYCEO	30	12	00:05:19	0.00%	20.00%
/users/Google3Spider	29	8	00:04:43	0.00%	24.14%
/users/CosasdeGose	28	20	00:19:38	0.00%	60.71%
/users/russenreaktor	27	13	00:16:51	0.00%	44.44%
/users/Charles_Nathan	26	15	00:02:45	0.00%	38.46%
/users/albinagonzalez	24	10	00:06:59	0.00%	37.50%
/users/joelezard	22	15	00:47:14	0.00%	54.55%
/users/paul_houle	21	20	09:16:32	0.00%	95.24%
/users/nastyxxxtina	20	5	00:00:58	0.00%	15.00%
/users/Rayanns107	20	10	00:01:25	0.00%	30.00%
/users/ispeakdopeness	19	1	00:02:40	0.00%	5.26%
/users/silent_d	19	16	00:01:32	0.00%	84.21%
/users/Amber_Welch	18	8	00:03:43	0.00%	33.33%
/users/BenBlackford	18	14	00:03:11	0.00%	50.00%
/users/k_zoltan	18	15	00:39:05	0.00%	72.22%
/users/nikoschuh	18	14	00:03:41	0.00%	66.67%
/users/penguinkang	18	14	02:40:18	0.00%	61.11%
/users/ployliplus	18	12	00:10:26	0.00%	50.00%
/users/twitgeekheather	18	10	00:06:23	0.00%	44.44%
/users/ValueInvestrGrp	18	17	01:16:48	0.00%	72.22%
/users/goldeplaca12	17	9	00:49:05	0.00%	52.94%
/users/Lucll24	17	12	00:06:02	0.00%	58.82%
/users/AdithyaRao	16	13	00:20:10	0.00%	56.25%
/users/juanlopezflores	16	15	00:15:06	0.00%	81.25%
/users/loly5	16	12	00:53:38	0.00%	62.50%
/users/greental	15	1	00:00:36	0.00%	6.67%
/users/hfmuehleisen	15	6	00:03:39	0.00%	40.00%
/users/nextflownet	15	10	00:33:28	0.00%	66.67%
/users/dvdeurse	14	11	00:07:34	0.00%	57.14%
/users/Johandebakkere	14	8	01:20:22	0.00%	42.86%
/users/MichaelPompl	14	11	00:08:29	0.00%	78.57%
/users/vstudi	14	10	00:04:44	0.00%	35.71%
/users/kennalively	13	3	00:06:10	0.00%	15.38%
/users/manue2109	13	3	00:01:04	0.00%	7.69%
/users/MARIANGELSING	13	10	00:08:21	0.00%	69.23%
/users/Marie_Annabelle	12	9	00:37:14	0.00%	50.00%
/users/VeterSky	10	8	00:00:29	0.00%	60.00%
	"7,352"	"3,538"	00:11:34	0.81%	38.79%

