umbelrc:Location_Underspecified	28
umbelrc:PopulatedPlace	28
umbelrc:Organization	24
umbelrc:Business	18
umbelrc:Country	13
umbelrc:Village	11
umbelrc:Club_Organization	8
umbelrc:PersonWithOccupation	7
umbelrc:Politician	6
umbelrc:City	5
umbelrc:NewspaperSeries	4
umbelrc:MusicalPerformer	4
umbelrc:WorldWideWebPage_PCW	4
umbelrc:Continent	3
umbelrc:Actor	3
umbelrc:Artist	3
umbelrc:PrimeMinister_HeadOfGovernment	2
umbelrc:TVShow_IBT	2
umbelrc:SoftwareObject	2
umbelrc:Sport	2
umbelrc:Action	2
umbelrc:PresidentOfOrganization	1
umbelrc:StateGovernor	1
umbelrc:Band_MusicGroup	1
umbelrc:SoccerPlayer	1
umbelrc:MilitaryPerson	1
umbelrc:SoccerCoach	1
umbelrc:BiologicalLivingObject	1
umbelrc:Bacterium	1
umbelrc:Building	1
